route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
26773,MARTA,1,Marietta Blvd/Joseph E Lowery Blvd,,3,https://itsmarta.com/1.aspx,FF00FF,000000
26774,MARTA,2,Ponce de Leon Avenue / Druid Hills,,3,https://itsmarta.com/2.aspx,008000,000000
26775,MARTA,3,Martin Luther King Jr Dr/Auburn Ave,,3,https://itsmarta.com/3.aspx,FF8000,000000
26776,MARTA,4,Moreland Avenue,,3,https://itsmarta.com/4.aspx,FF00FF,000000
26777,MARTA,5,Piedmont Road / Sandy Springs,,3,https://itsmarta.com/5.aspx,00FFFF,000000
27008,MARTA,6,Clifton Road / Emory,,3,https://itsmarta.com/6.aspx,008080,000000
26779,MARTA,8,North Druid Hills Road,,3,https://itsmarta.com/8.aspx,008000,000000
26780,MARTA,9,Boulevard / Tilson Road,,3,https://itsmarta.com/9.aspx,00FFFF,000000
26781,MARTA,12,Howell Mill Road / Cumberland,,3,https://itsmarta.com/12.aspx,FF00FF,000000
26782,MARTA,14,14th Street / Blandtown,,3,https://itsmarta.com/14.aspx,00FF00,000000
26783,MARTA,15,Candler Road,,3,https://itsmarta.com/15.aspx,00FF00,000000
26784,MARTA,19,Clairmont Road / Howard Avenue,,3,https://itsmarta.com/19.aspx,FF00FF,000000
26785,MARTA,21,Memorial Drive,,3,https://itsmarta.com/21.aspx,FF00FF,000000
26786,MARTA,24,McAfee / Hosea Williams,,3,https://itsmarta.com/24.aspx,FF00FF,000000
26787,MARTA,25,Peachtree Boulevard,,3,https://itsmarta.com/25.aspx,FF00FF,000000
26788,MARTA,26,Marietta Street / Perry Boulevard,,3,https://itsmarta.com/26.aspx,008080,000000
26789,MARTA,27,Cheshire Bridge Road,,3,https://itsmarta.com/27.aspx,FF0080,000000
26790,MARTA,30,LaVista Road,,3,https://itsmarta.com/30.aspx,00FF00,000000
26791,MARTA,32,Bouldercrest,,3,https://itsmarta.com/32.aspx,00FF00,000000
26792,MARTA,34,Gresham Road,,3,https://itsmarta.com/34.aspx,FF00FF,000000
26793,MARTA,36,N Decatur Road / Virginia Highland,,3,https://itsmarta.com/36.aspx,A6CAF0,000000
26794,MARTA,37,Defoors Ferry Road,,3,https://itsmarta.com/37.aspx,00FF80,000000
26795,MARTA,39,Buford Highway,,3,https://itsmarta.com/39.aspx,008000,000000
26796,MARTA,40,Peachtree Street / Downtown,,3,https://itsmarta.com/40.aspx,FFFF00,000000
26797,MARTA,42,Pryor Road,,3,https://itsmarta.com/42.aspx,FF8000,000000
26798,MARTA,47,I-85 Access Road,,3,https://itsmarta.com/47.aspx,FF8080,000000
26799,MARTA,49,McDonough Boulevard,,3,https://itsmarta.com/49.aspx,FF8040,000000
26800,MARTA,50,Donald Lee Hollowell Parkway,,3,https://itsmarta.com/50.aspx,00FF00,000000
26801,MARTA,51,Joseph E Boone Boulevard,,3,https://itsmarta.com/51.aspx,00FFFF,000000
26802,MARTA,55,Jonesboro Road,,3,https://itsmarta.com/55.aspx,FF8000,000000
26803,MARTA,58,Hollywood Road / Lucile Avenue,,3,https://itsmarta.com/58.aspx,A6CAF0,000000
26804,MARTA,60,Hightower Road,,3,https://itsmarta.com/60.aspx,00FFFF,000000
26805,MARTA,66,Lynhurst Drive / Princeton Lakes,,3,https://itsmarta.com/66.aspx,00FFFF,000000
26806,MARTA,68,Benjamin E Mays Drive,,3,https://itsmarta.com/68.aspx,FF0000,000000
26807,MARTA,71,Cascade Road,,3,https://itsmarta.com/71.aspx,FF8080,000000
26808,MARTA,73,Fulton Industrial,,3,https://itsmarta.com/73.aspx,008000,000000
26809,MARTA,74,Flat Shoals Road,,3,https://itsmarta.com/74.aspx,FF8000,000000
26810,MARTA,75,Lawrenceville Highway,,3,https://itsmarta.com/75.aspx,00FF00,000000
26811,MARTA,78,Cleveland Avenue,,3,https://itsmarta.com/78.aspx,00FF00,000000
26812,MARTA,79,Sylvan Hills,,3,https://itsmarta.com/79.aspx,FF8000,000000
26813,MARTA,81,Venetian Hills / Delowe Drive,,3,https://itsmarta.com/81.aspx,00FF00,000000
26814,MARTA,82,Camp Creek / South Fulton Parkway,,3,https://itsmarta.com/82.aspx,008000,000000
26815,MARTA,83,Campbellton Road,,3,https://itsmarta.com/83.aspx,00FF00,000000
26816,MARTA,84,Washington Rd/Camp Crk Marketplace,,3,https://itsmarta.com/84.aspx,00FFFF,000000
26817,MARTA,85,Roswell,,3,https://itsmarta.com/85.aspx,008000,000000
26818,MARTA,86,Fairington Road,,3,https://itsmarta.com/86.aspx,A6CAF0,000000
26819,MARTA,87,Roswell Road / Sandy Springs,,3,https://itsmarta.com/87.aspx,00FFFF,000000
26820,MARTA,89,Old National Highway,,3,https://itsmarta.com/89.aspx,FF8040,000000
26821,MARTA,93,Headland Drive / Main Street,,3,https://itsmarta.com/93.aspx,00FFFF,000000
26822,MARTA,94,Northside Drive,,3,https://itsmarta.com/94.aspx,008000,000000
26823,MARTA,95,Metropolitan Parkway,,3,https://itsmarta.com/95.aspx,FF0000,000000
26824,MARTA,102,North Avenue / Little Five Points,,3,https://itsmarta.com/102.aspx,00FF00,000000
26825,MARTA,103,Peeler Road,,3,https://itsmarta.com/103.aspx,00FFFF,000000
26826,MARTA,104,Winters Chapel Road,,3,https://itsmarta.com/104.aspx,00FFFF,000000
26827,MARTA,107,Glenwood,,3,https://itsmarta.com/107.aspx,008000,000000
26828,MARTA,110,Peachtree Road / Buckhead,,3,https://itsmarta.com/110.aspx,FF8040,000000
26829,MARTA,111,Snapfinger Woods,,3,https://itsmarta.com/111.aspx,008000,000000
26830,MARTA,114,Columbia Drive,,3,https://itsmarta.com/114.aspx,FF8040,000000
26831,MARTA,115,Covington Highway,,3,https://itsmarta.com/115.aspx,00FF00,000000
26832,MARTA,116,Redan Road,,3,https://itsmarta.com/116.aspx,00FFFF,000000
26833,MARTA,117,Rockbridge Road / Panola Road,,3,https://itsmarta.com/117.aspx,00FF00,000000
26834,MARTA,119,Hairston Road / Stone Mtn Village,,3,https://itsmarta.com/119.aspx,008080,000000
26835,MARTA,120,East Ponce De Leon Avenue,,3,https://itsmarta.com/120.aspx,FF00FF,000000
26836,MARTA,121,Memorial Drive / N Hairston Road,,3,https://itsmarta.com/121.aspx,00FFFF,000000
26837,MARTA,123,Church Street,,3,https://itsmarta.com/123.aspx,00FF00,000000
26838,MARTA,124,Pleasantdale Road,,3,https://itsmarta.com/124.aspx,FF00FF,000000
26839,MARTA,125,Clarkston,,3,https://itsmarta.com/125.aspx,008000,000000
26840,MARTA,126,Embry Hills,,3,https://itsmarta.com/126.aspx,008000,000000
26841,MARTA,132,Tilly Mill Road,,3,https://itsmarta.com/132.aspx,FF00FF,000000
26842,MARTA,133,Shallowford Road,,3,https://itsmarta.com/133.aspx,FFFF00,000000
26843,MARTA,140,North Point Parkway,,3,https://itsmarta.com/140.aspx,FF8000,000000
26844,MARTA,141,Haynes Bridge Road / Milton,,3,https://itsmarta.com/141.aspx,FF00FF,000000
26845,MARTA,142,East Holcomb Bridge Road,,3,https://itsmarta.com/142.aspx,FF00FF,000000
26846,MARTA,143,Windward Park & Ride,,3,https://itsmarta.com/143.aspx,00FFFF,000000
26847,MARTA,148,Mount Vernon Highway,,3,https://itsmarta.com/148.aspx,00FF00,000000
26848,MARTA,150,Dunwoody Village,,3,https://itsmarta.com/150.aspx,00FFFF,000000
26849,MARTA,153,James Jackson Parkway,,3,https://itsmarta.com/153.aspx,FF8000,000000
26850,MARTA,155,Pittsburgh,,3,https://itsmarta.com/155.aspx,00FFFF,000000
26851,MARTA,162,Myrtle Drive / Alison Court,,3,https://itsmarta.com/162.aspx,008080,000000
26852,MARTA,165,Fairburn Road,,3,https://itsmarta.com/165.aspx,00FFFF,000000
26853,MARTA,172,Sylvan Road / Virginia Avenue,,3,https://itsmarta.com/172.aspx,FF8040,000000
26854,MARTA,178,Empire Blvd / Southside Ind Park,,3,https://itsmarta.com/178.aspx,00FFFF,000000
26855,MARTA,180,Roosevelt Highway,,3,https://itsmarta.com/180.aspx,FF00FF,000000
26856,MARTA,181,Washington Road / Fairburn,,3,https://itsmarta.com/181.aspx,FF8040,000000
26857,MARTA,183,Greenbriar,,3,https://itsmarta.com/183.aspx,008000,000000
26858,MARTA,185,Alpharetta,,3,https://itsmarta.com/185.aspx,FF8000,000000
26859,MARTA,186,Rainbow Drive / South DeKalb,,3,https://itsmarta.com/186.aspx,00FF00,000000
26860,MARTA,188,Oakley Industrial,,3,https://itsmarta.com/188.aspx,FF00FF,000000
26861,MARTA,189,Flat Shoals Road / Scofield Road,,3,https://itsmarta.com/189.aspx,FF00FF,000000
26862,MARTA,191,Riverdale / ATL Intl Terminal,,3,https://itsmarta.com/191.aspx,FF00FF,000000
26863,MARTA,192,Old Dixie / Tara Boulevard,,3,https://itsmarta.com/192.aspx,008000,000000
26864,MARTA,193,Morrow / Jonesboro,,3,https://itsmarta.com/193.aspx,008080,000000
26865,MARTA,194,Conley Road / Mt Zion,,3,https://itsmarta.com/194.aspx,008000,000000
26866,MARTA,195,Forest Parkway,,3,https://itsmarta.com/195.aspx,FF00FF,000000
26867,MARTA,196,Upper Riverdale,,3,https://itsmarta.com/196.aspx,00FFFF,000000
