stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
109005,109005,S HAIRSTON RD @ MANLY CT,0 HAIRSTON & MANLY,33.74499,-84.195836,0,,,,,0
109007,109007,S HAIRSTON RD @ MANLY CT,0 S HAIRSTON RD & MANLY CT,33.745204,-84.196243,0,,,,,0
109012,109012,COVINGTON HWY @ S HAIRSTON RD,0 COVINGTON & HAIRSTON,33.730533,-84.193259,0,,,,,0
109015,109015,COVINGTON HWY @ HIDDEN CREEK DR,0 COVINGTON HWY & HIDDEN CREEK DR,33.727659,-84.188017,0,,,,,1
109016,109016,COVINGTON HWY @ HIDDEN CHASE,0 COVINGTON HWY & HIDDEN CHASE,33.728152,-84.188712,0,,,,,1
109018,109018,COVINGTON HWY @ YOUNG RD,,33.727542,-84.186958,0,,,,,1
109020,109020,S HAIRSTON RD @ TREEHILLS PKWY,0 S HAIRSTON RD & TREEHILLS PKWY,33.752618,-84.196884,,,,,,1
109022,109022,S HAIRSTON RD @ COVINGTON HWY,0 S HAIRSTON RD & COVINGTON HWY,33.731637,-84.194122,0,,,,,0
109028,109028,S HAIRSTON RD @ BISHOP MING BLVD,0 S HAIRSTON RD & WOODWAY DR,33.73758,-84.194371,,,,,,0
109030,109030,S HAIRSTON RD @ WOODWAY DR,0 S HAIRSTON RD & UNNAMED ST,33.737607,-84.19411,,,,,,1
109032,109032,S HAIRSTON RD @ MERCER RD,0 HAIRSTON & MERCER,33.753111,-84.197321,,,,,,0
109034,906402,S HAIRSTON RD @ 1365,S  HAIRSTON RD,33.754574,-84.197426,,,,,,0
109036,109036,S HAIRSTON RD @ COVINGTON HWY,0 S HAIRSTON RD & COVINGTON HWY,33.731333,-84.19449,0,,,,,1
109038,109038,S HAIRSTON RD @ BIG VALLEY RD,0 HAIRSTON & BIG VALLEY,33.740817,-84.195865,0,,,,,0
109040,109040,S HAIRSTON RD @ BIG VALLEY RD,0 HAIRSTON & BIG VALLEY,33.74068,-84.195397,,,,,,1
109042,109042,S HAIRSTON RD @ BIRCH RIDGE TRL,0 HAIRSTON & BIRCH RIDGE,33.747812,-84.196857,0,,,,,1
109044,109044,S HAIRSTON RD @ BIRCH RIDGE TRL,0 S HAIRSTON RD & BIRCH RIDGE TRL,33.748039,-84.197165,0,,,,,1
109046,109046,COVINGTON HWY @ S HAIRSTON RD,0 COVINGTON HWY & S HAIRSTON RD,33.73079,-84.193346,0,,,,,1
109048,109048,COVINGTON HWY @ 5181,5193 COVINGTON HWY,33.732685,-84.203704,0,,,,,1
110002,110002,S STONE MOUNTAIN LITHONIA RD @ SHADOW ROCK DR,0 STONE MOUNTAIN LITHO & SHADOW ROCK,33.746348,-84.139119,0,,,,,0
110004,110004,S STONE MOUNTAIN LITHONIA RD @ WELLBORN RD,0 S STONE MOUNTAIN LITHONIA RD & WELLBORN RD,33.746738,-84.140968,0,,,,,1
110006,110006,REDAN RD @ DUREN FARMS DR,,33.747307,-84.14546,,,,,,0
110008,110008,REDAN RD @ YOUNG RD,,33.748957,-84.149128,0,,,,,1
110010,110010,REDAN RD @ BENTLEY WOODS LN,0 REDAN RD & BENTLEY WOODS LN,33.750845,-84.152681,0,,,,,0
110012,110012,REDAN RD @ BENTLEY WOODS TRL,0 REDAN & BENTLEY WOODS,33.751817,-84.154796,0,,,,,0
110014,110014,REDAN RD @ SORENSON DR,0 REDAN & SORENSON,33.754837,-84.161909,0,,,,,0
110016,110016,REDAN RD @ REDAN CIR,0 REDAN RD & REDAN CIR,33.754845,-84.162266,0,,,,,0
